Date,Reserves,CPI,Monthly Inflation Rate,Reserves Index,Country
1984-07-01,34391350000,47.74,0.3784693019343921,44.626876730456324,USA
1984-08-01,34760150000,47.92,0.3770423125261768,45.10543869845678,USA
1984-09-01,34306839999,48.15,0.4799666110183676,44.5172149289534,USA
1984-10-01,34570060000,48.29,0.2907580477673921,44.85877426109993,USA
1984-11-01,34727420000,48.29,0.0,45.062967621415964,USA
1984-12-01,34933780000,48.29,0.0,45.33074432346741,USA
1985-01-01,34379670000,48.38,0.1863739904742312,44.611720537977355,USA
1985-02-01,34272410000,48.61,0.4754030591153313,44.472537900537745,USA
1985-03-01,35493010000,48.79,0.37029417815264143,46.05641191935919,USA
1985-04-01,35493030000,49.02,0.4714080754252947,46.056437871743576,USA
1985-05-01,35782080000,49.21,0.3875968992248069,46.431514707021584,USA
1985-06-01,36087300000,49.35,0.2844950213371167,46.82757404507228,USA
1985-07-01,37070860000,49.44,0.18237082066867583,48.103860404200596,USA
1985-08-01,37153620000,49.53,0.1820388349514701,48.2112513707725,USA
1985-09-01,38294000000,49.67,0.2826569755703723,49.69103037583854,USA
1985-10-01,41656730000,49.85,0.3623917857861869,54.05457345244958,USA
1985-11-01,42850700000,49.99,0.2808425275827586,55.60389187146666,USA
1985-12-01,43185420000,50.12,0.2600520104020676,56.03823097648052,USA
1986-01-01,43672460000,50.26,0.27932960893854997,56.67022344094619,USA
1986-02-01,45504370000,50.12,-0.278551532033422,59.04734506458964,USA
1986-03-01,44918590000,49.9,-0.438946528331996,58.28722567843101,USA
1986-04-01,46491950000,49.8,-0.2004008016032066,60.328847852978704,USA
1986-05-01,45249160000,49.94,0.28112449799195804,58.716179663685644,USA
1986-06-01,46594630000,50.22,0.560672807368845,60.46208739439488,USA
1986-07-01,47430020000,50.22,0.0,61.546105513830604,USA
1986-08-01,48161280000,50.31,0.17921146953405742,62.49500254398248,USA
1986-09-01,48086700000,50.54,0.45716557344464004,62.398226102622736,USA
1986-10-01,47088770000,50.58,0.0791452314998109,61.10329295531609,USA
1986-11-01,47824610000,50.63,0.09885330170027462,62.0581330814914,USA
1986-12-01,48516480000,50.68,0.0987556784515009,62.955916890603305,USA
1987-01-01,49386840000,51.0,0.6314127861089203,64.08531275413061,USA
1987-02-01,49359980000,51.18,0.3529411764705781,64.05045870190585,USA
1987-03-01,48823950000,51.41,0.4493942946463436,63.35489587189696,USA
1987-04-01,46591790000,51.68,0.5251896518187138,60.458402155812664,USA
1987-05-01,45912920000,51.87,0.3676470588235281,59.57748739654893,USA
1987-06-01,45139510000,52.05,0.3470213996529692,58.57389571631241,USA
1987-07-01,44318340000,52.19,0.26897214217098675,57.50832974217215,USA
1987-08-01,45914530000,52.46,0.517340486683282,59.57957656349166,USA
1987-09-01,45070620000,52.74,0.5337399923751374,58.48450272830929,USA
1987-10-01,46200500000,52.88,0.26545316647705874,59.95065673157488,USA
1987-11-01,46779160000,52.92,0.07564296520423675,60.701537068893586,USA
1987-12-01,45798300000,52.92,0.0,59.428754281656815,USA
1988-01-01,42954420000,53.06,0.2645502645502562,55.738480936870694,USA
1988-02-01,43063990000,53.2,0.26385224274405594,55.8806610747064,USA
